name,ccb,logmh,ccr,dedeg,fhi,morphel,modelu_rcorr,r50,fg,fc,fa,r90,modelu_j,den1mpc,grp,absrmag,grpcz,fmorphel,cz,radeg,logmstar
ECO00001,1.0,12.17,1.01,25.966,2,L,1.48,10.0,0,1,1,33.7,3.3,0.54,1,-21.8,6454.9,1,6454.9,139.374,10.73
ECO00002,1.0,11.21,1.13,8.533,2,L,1.06,8.8,1,1,1,17.3,2.86,0.65,2,-19.28,4293.3,1,4338.9,185.078,9.37
ECO00003,1.0,11.14,1.45,9.606,2,L,0.87,9.8,0,0,1,21.6,1.97,1.03,3,-17.7,5425.4,1,5443.5,144.112,8.19
ECO00004,1.0,10.77,1.43,9.179,2,L,0.88,3.6,0,1,1,10.0,2.74,0.31,4,-17.49,6374.6,1,6374.6,144.992,8.45
ECO00005,1.0,10.77,1.32,10.219,1,E,1.4,3.1,0,1,1,7.7,2.9,0.64,5,-17.5,5713.0,1,5713.0,145.612,8.79
ECO00006,1.0,10.77,1.48,5.728,1,L,0.95,3.7,1,1,1,9.9,18.49,0.37,6,-17.51,6962.2,1,6962.2,148.788,8.31
ECO00007,1.0,10.76,1.58,10.124,2,L,1.2,6.5,0,1,1,17.8,2.58,1.52,7,-17.43,5230.4,1,5230.4,149.419,8.39
ECO00008,1.0,10.76,1.53,9.225,2,L,0.95,10.0,0,1,1,21.5,2.72,0.32,8,-17.43,4580.1,2,4580.1,155.82,8.43
ECO00009,1.0,10.75,1.52,10.622,1,L,1.22,4.8,0,1,1,9.9,18.75,0.41,9,-17.38,6383.6,1,6383.6,160.641,8.57
ECO00010,1.0,10.78,1.45,9.488,2,L,1.09,7.1,1,1,1,17.4,2.22,0.2,10,-17.55,4580.4,1,4580.4,185.603,8.51
ECO00011,1.0,10.85,1.18,11.073,2,L,1.2,12.5,0,1,1,30.0,2.45,0.22,11,-17.89,5824.9,1,5824.9,160.75,9.09
ECO00012,1.0,11.14,1.47,12.26,1,L,1.27,9.0,0,0,1,18.9,2.86,0.43,12,-17.51,6163.8,2,6141.2,162.755,8.69
